Payment_Name,SM_Transmission_Date_ACH_File__c,Amount,Source_File
PY-01540078,2024-01-29,104.81,ACH_20240129.csv
PY-01540079,2023-12-14,88.09,ACH_20231214.csv
PY-01540080,2023-12-14,88.09,ACH_20231214.csv
PY-01540081,2023-12-14,88.09,ACH_20231214.csv
PY-01540082,2024-02-08,99.24,ACH_20240208.csv
PY-01540083,2024-01-29,115.96,ACH_20240129.csv
PY-01540084,2023-12-14,88.09,ACH_20231214.csv
PY-01540085,2023-12-14,88.09,ACH_20231214.csv
PY-01540086,2023-12-14,76.94,ACH_20231214.csv
PY-01540087,2024-02-08,83.63,ACH_20240208.csv
PY-01540088,2023-12-14,99.24,ACH_20231214.csv
PY-01540089,2023-12-14,154.99,ACH_20231214.csv
PY-01540090,2023-12-14,88.09,ACH_20231214.csv
PY-01540091,2023-12-14,121.54,ACH_20231214.csv
PY-01540092,2023-12-14,110.39,ACH_20231214.csv
PY-01540093,2023-12-14,83.63,ACH_20231214.csv
PY-01540094,2023-12-14,88.09,ACH_20231214.csv
PY-01540095,2023-12-14,88.09,ACH_20231214.csv
PY-01540096,2024-02-08,83.63,ACH_20240208.csv
PY-01540097,2023-12-14,121.54,ACH_20231214.csv
PY-01540098,2024-01-29,121.54,ACH_20240129.csv
PY-01540099,2023-12-14,60.77,ACH_20231214.csv
PY-01540100,2024-01-29,121.54,ACH_20240129.csv
PY-01540507,2024-02-08,88.09,ACH_20240208.csv
PY-01540508,2024-01-29,88.09,ACH_20240129.csv
PY-01540509,2023-12-15,88.09,ACH_20231215.csv
PY-01540510,2023-12-15,88.09,ACH_20231215.csv
PY-01540511,2023-12-15,88.09,ACH_20231215.csv
PY-01540512,2023-12-15,88.09,ACH_20231215.csv
PY-01540513,2024-02-08,88.09,ACH_20240208.csv
PY-01540514,2023-12-15,54.64,ACH_20231215.csv
PY-01540515,2023-12-15,76.94,ACH_20231215.csv
PY-01540516,2023-12-15,54.64,ACH_20231215.csv
PY-01540517,2023-12-15,54.64,ACH_20231215.csv
PY-01540518,2023-12-15,88.09,ACH_20231215.csv
PY-01540519,2024-01-29,88.09,ACH_20240129.csv
PY-01540520,2023-12-15,88.09,ACH_20231215.csv
PY-01540521,2024-02-08,104.81,ACH_20240208.csv
PY-01540538,2024-01-29,121.54,ACH_20240129.csv
PY-01540847,2023-12-18,54.64,ACH_20231218.csv
PY-01540848,2023-12-18,76.94,ACH_20231218.csv
PY-01540849,2023-12-18,76.94,ACH_20231218.csv
PY-01540850,2023-12-18,76.94,ACH_20231218.csv
PY-01540851,2023-12-18,76.94,ACH_20231218.csv
PY-01540852,2024-02-08,76.94,ACH_20240208.csv
PY-01540853,2024-01-29,88.09,ACH_20240129.csv
PY-01540854,2023-12-18,83.63,ACH_20231218.csv
PY-01540855,2023-12-18,83.63,ACH_20231218.csv
PY-01540856,2023-12-18,88.09,ACH_20231218.csv
PY-01540898,2023-12-19,88.09,ACH_20231219.csv
PY-01540899,2023-12-19,83.63,ACH_20231219.csv
PY-01540900,2023-12-19,88.09,ACH_20231219.csv
PY-01540901,2023-12-19,54.64,ACH_20231219.csv
PY-01540902,2023-12-19,54.64,ACH_20231219.csv
PY-01540903,2024-01-29,76.94,ACH_20240129.csv
PY-01540904,2023-12-19,88.09,ACH_20231219.csv
PY-01540905,2023-12-19,76.94,ACH_20231219.csv
PY-01540906,2023-12-19,83.63,ACH_20231219.csv
PY-01540907,2023-12-19,54.64,ACH_20231219.csv
PY-01540908,2023-12-19,54.64,ACH_20231219.csv
PY-01540909,2023-12-19,54.64,ACH_20231219.csv
PY-01540910,2023-12-19,54.64,ACH_20231219.csv
PY-01540911,2023-12-19,76.94,ACH_20231219.csv
PY-01540912,2024-01-29,104.81,ACH_20240129.csv
PY-01540913,2023-12-19,88.09,ACH_20231219.csv
PY-01540914,2024-02-08,76.94,ACH_20240208.csv
PY-01540915,2023-12-19,88.09,ACH_20231219.csv
PY-01540916,2023-12-19,76.94,ACH_20231219.csv
PY-01540917,2023-12-19,76.94,ACH_20231219.csv
PY-01540918,2023-12-19,82.51,ACH_20231219.csv
PY-01540919,2024-02-08,44.03,ACH_20240208.csv
PY-01540920,2023-12-19,76.94,ACH_20231219.csv
PY-01540921,2023-12-19,88.09,ACH_20231219.csv
PY-01540922,2023-12-19,99.24,ACH_20231219.csv
PY-01540923,2024-01-29,88.09,ACH_20240129.csv
PY-01540924,2023-12-19,111.50,ACH_20231219.csv
PY-01540925,2023-12-19,83.63,ACH_20231219.csv
PY-01540926,2024-02-08,115.96,ACH_20240208.csv
PY-01540927,2024-02-08,115.96,ACH_20240208.csv
PY-01540928,2023-12-19,88.09,ACH_20231219.csv
PY-01540929,2023-12-19,88.09,ACH_20231219.csv
PY-01540930,2023-12-19,60.77,ACH_20231219.csv
