ContractNumber;Status;Invoice;Invoice Status;Subscription;Subscription Status;Payment (Asociados al Invoice);Payment Status
00316616;Cancelled;3130;PAID;AzZTsiVKpc65F1UZs;CANCELLED;3;REJECTED x3
00316616;Cancelled;5227;PAID;AzZTsiVKpc65F1UZs;CANCELLED;2;REJECTED x2
00316616;Cancelled;5314;PAID;AzZTsiVKpc65F1UZs;CANCELLED;1;REJECTED x1
00317469;Cancelled;5971;PAID;AzyUD8VQavysW3Gyb;CANCELLED;11;REJECTED x11
00317469;Cancelled;6395;PAID;AzyUD8VQavysW3Gyb;CANCELLED;6;REJECTED x6
00316160;Cancelled;1102;PAID;AzZPPPVKkdbIq24QO;CANCELLED;8;REJECTED x8
00316160;Cancelled;1103;PAID;AzZPPPVKkdbIq24QO;CANCELLED;9;REJECTED x9
00316160;Cancelled;2685;PAID;AzZPPPVKkdbIq24QO;CANCELLED;6;REJECTED x6
00316160;Cancelled;2842;PAID;AzZPPPVKkdbIq24QO;CANCELLED;3;REJECTED x3
00316160;Cancelled;4820;PAID;AzZPPPVKkdbIq24QO;CANCELLED;2;REJECTED x2
00316160;Cancelled;4994;PAID;AzZPPPVKkdbIq24QO;CANCELLED;1;REJECTED x1
00317790;Cancelled;6079;PAID;16BSMRVNez4Fe2Tb;CANCELLED;3;REJECTED x3
00317790;Cancelled;6522;PAID;16BSMRVNez4Fe2Tb;CANCELLED;3;REJECTED x3
00318178;Cancelled;6946;PAID;AzqLfkVRdtLqfGQ4;CANCELLED;1;REJECTED x1
00316434;Cancelled;4832;PAID;AzyU8tVKkmEkC2Abn;CANCELLED;7;REJECTED x7
00316434;Cancelled;5093;PAID;AzyU8tVKkmEkC2Abn;CANCELLED;5;REJECTED x5
00315611;Cancelled;5289;PAID;16BbOAVKkYKJl2118;CANCELLED;4;REJECTED x4
00315998;Cancelled;1723;PAID;AzZMDQVKladrd2PSq;CANCELLED;18;REJECTED x18
00315998;Cancelled;1911;PAID;AzZMDQVKladrd2PSq;CANCELLED;15;REJECTED x15
00315998;Cancelled;3716;PAID;AzZMDQVKladrd2PSq;CANCELLED;11;REJECTED x11
00315998;Cancelled;3956;PAID;AzZMDQVKladrd2PSq;CANCELLED;11;REJECTED x11
00315998;Cancelled;5878;PAID;AzZMDQVKladrd2PSq;CANCELLED;6;REJECTED x6
00315998;Cancelled;6247;PAID;AzZMDQVKladrd2PSq;CANCELLED;4;REJECTED x4
00317945;Cancelled;5414;PAID;AzqepgVPHb0S85kz;CANCELLED;1;REJECTED x1
00317945;Cancelled;5528;PAID;AzqepgVPHb0S85kz;CANCELLED;3;REJECTED x3
00317603;Cancelled;2947;PAID;AzygFRVLaaIFiAGK;CANCELLED;10;REJECTED x10
00317603;Cancelled;3002;PAID;AzygFRVLaaIFiAGK;CANCELLED;9;REJECTED x9
00317603;Cancelled;5327;PAID;AzygFRVLaaIFiAGK;CANCELLED;3;REJECTED x3
00317603;Cancelled;5381;PAID;AzygFRVLaaIFiAGK;CANCELLED;3;REJECTED x3
00316208;Cancelled;1110;PAID;AzZlwkVKkekzV1vpr;CANCELLED;5;REJECTED x5
00316208;Cancelled;1111;PAID;AzZlwkVKkekzV1vpr;CANCELLED;4;REJECTED x4
00316208;Cancelled;2669;PAID;AzZlwkVKkekzV1vpr;CANCELLED;9;REJECTED x9
00316208;Cancelled;2820;PAID;AzZlwkVKkekzV1vpr;CANCELLED;2;REJECTED x2
00316208;Cancelled;4807;PAID;AzZlwkVKkekzV1vpr;CANCELLED;2;REJECTED x2
00316208;Cancelled;5007;PAID;AzZlwkVKkekzV1vpr;CANCELLED;1;REJECTED x1
00315438;Cancelled;3637;PAID;16BljqVKlStso2LA5;CANCELLED;6;REJECTED x6
00315438;Cancelled;3927;PAID;16BljqVKlStso2LA5;CANCELLED;6;REJECTED x6
00315438;Cancelled;5804;PAID;16BljqVKlStso2LA5;CANCELLED;1;REJECTED x1
00317182;Cancelled;1954;PAID;AzydkJVGynLiK6np;CANCELLED;12;REJECTED x12
00317182;Cancelled;1977;PAID;AzydkJVGynLiK6np;CANCELLED;12;REJECTED x12
00316285;Cancelled;4529;PAID;16CL3aVKl8oHX2N5n;CANCELLED;4;REJECTED x4
00316513;Cancelled;1245;PAID;AzyzECVKpODHm1K3o;CANCELLED;16;REJECTED x16
00316513;Cancelled;3347;PAID;AzyzECVKpODHm1K3o;CANCELLED;12;REJECTED x12
00316513;Cancelled;5515;PAID;AzyzECVKpODHm1K3o;CANCELLED;1;REJECTED x1
00316970;Cancelled;5262;PAID;Azyk7XVEhn6qL73s;CANCELLED;3;REJECTED x3
00317615;Cancelled;3834;PAID;AzygFRVLbyUE1DY9;CANCELLED;6;REJECTED x6
00317615;Cancelled;4189;PAID;AzygFRVLbyUE1DY9;CANCELLED;5;REJECTED x5
00315528;Cancelled;1032;PAID;AzZMDQVKkCLxr1cpu;CANCELLED;15;REJECTED x15
00315528;Cancelled;1033;PAID;AzZMDQVKkCLxr1cpu;CANCELLED;14;REJECTED x14
00315528;Cancelled;3284;PAID;AzZMDQVKkCLxr1cpu;CANCELLED;8;REJECTED x8
00315804;Cancelled;1330;PAID;6oZwAVKpYJGn1Lf5;CANCELLED;1;REJECTED x1
00315804;Cancelled;1331;PAID;6oZwAVKpYJGn1Lf5;CANCELLED;1;REJECTED x1
00315804;Cancelled;1332;PAID;6oZwAVKpYJGn1Lf5;CANCELLED;1;REJECTED x1
00315804;Cancelled;3077;PAID;6oZwAVKpYJGn1Lf5;CANCELLED;1;REJECTED x1
00315804;Cancelled;3132;PAID;6oZwAVKpYJGn1Lf5;CANCELLED;1;REJECTED x1
00315804;Cancelled;5229;PAID;6oZwAVKpYJGn1Lf5;CANCELLED;1;REJECTED x1
00315263;Cancelled;4758;PAID;Azywp7VKkOk3c1lPs;CANCELLED;1;REJECTED x1
00317390;Cancelled;3183;PAID;AzyfWZVJKb4fn6MX;CANCELLED;6;REJECTED x6
00317010;Cancelled;627;PAID;AzZZoCVEv1H5J3aH;CANCELLED;20;REJECTED x20
00317010;Cancelled;655;PAID;AzZZoCVEv1H5J3aH;CANCELLED;18;REJECTED x18
00317010;Cancelled;2064;PAID;AzZZoCVEv1H5J3aH;CANCELLED;11;REJECTED x11
00317010;Cancelled;2093;PAID;AzZZoCVEv1H5J3aH;CANCELLED;11;REJECTED x11
00317010;Cancelled;4124;PAID;AzZZoCVEv1H5J3aH;CANCELLED;7;REJECTED x7
00317010;Cancelled;4193;PAID;AzZZoCVEv1H5J3aH;CANCELLED;7;REJECTED x7
00313570;Cancelled;490;PAID;16Bkb8VHdZjyY60eF;CANCELLED;2;REJECTED x2
00313570;Cancelled;491;PAID;16Bkb8VHdZjyY60eF;CANCELLED;20;REJECTED x20
00313570;Cancelled;571;PAID;16Bkb8VHdZjyY60eF;CANCELLED;18;REJECTED x18
00313570;Cancelled;578;PAID;16Bkb8VHdZjyY60eF;CANCELLED;18;REJECTED x18
00313570;Cancelled;1968;PAID;16Bkb8VHdZjyY60eF;CANCELLED;11;REJECTED x11
00313570;Cancelled;1982;PAID;16Bkb8VHdZjyY60eF;CANCELLED;11;REJECTED x11
00313570;Cancelled;3833;PAID;16Bkb8VHdZjyY60eF;CANCELLED;7;REJECTED x7
00313570;Cancelled;4181;PAID;16Bkb8VHdZjyY60eF;CANCELLED;6;REJECTED x6
00316054;Cancelled;1165;PAID;169sUqVKl87m52Mrv;CANCELLED;13;REJECTED x13
00314629;Cancelled;1274;PAID;AzZkSCVKpV0tZ1QO4;CANCELLED;11;REJECTED x11
00314629;Cancelled;1275;PAID;AzZkSCVKpV0tZ1QO4;CANCELLED;11;REJECTED x11
00314629;Cancelled;1276;PAID;AzZkSCVKpV0tZ1QO4;CANCELLED;11;REJECTED x11
00314629;Cancelled;2714;PAID;AzZkSCVKpV0tZ1QO4;CANCELLED;12;REJECTED x12
00314629;Cancelled;2863;PAID;AzZkSCVKpV0tZ1QO4;CANCELLED;10;REJECTED x10
00317749;Cancelled;3789;PAID;Azz3c2VNIxxn5BCz;CANCELLED;2;REJECTED x2
00317749;Cancelled;3998;PAID;Azz3c2VNIxxn5BCz;CANCELLED;1;REJECTED x1
00317320;Cancelled;821;PAID;169vPsVIfspaF5oB;CANCELLED;13;REJECTED x13
00317320;Cancelled;2115;PAID;169vPsVIfspaF5oB;CANCELLED;1;REJECTED x1
00314213;Cancelled;3536;PAID;AzZQfvVKlJ9Wn2HUZ;CANCELLED;2;REJECTED x2
00314213;Cancelled;3869;PAID;AzZQfvVKlJ9Wn2HUZ;CANCELLED;1;REJECTED x1
00316993;Cancelled;682;PAID;AzZaMvVEogXpH73Y;CANCELLED;15;REJECTED x15
00314271;Cancelled;1543;PAID;16CL3aVKlJMrd2SjJ;CANCELLED;12;REJECTED x12
00314271;Cancelled;1839;PAID;16CL3aVKlJMrd2SjJ;CANCELLED;7;REJECTED x7
00314271;Cancelled;3541;PAID;16CL3aVKlJMrd2SjJ;CANCELLED;2;REJECTED x2
00316955;Cancelled;836;PAID;AzyaKKVEQ8UNJ6fN;CANCELLED;11;REJECTED x11
00316955;Cancelled;867;PAID;AzyaKKVEQ8UNJ6fN;CANCELLED;10;REJECTED x10
00316955;Cancelled;2745;PAID;AzyaKKVEQ8UNJ6fN;CANCELLED;6;REJECTED x6
00316955;Cancelled;2850;PAID;AzyaKKVEQ8UNJ6fN;CANCELLED;6;REJECTED x6
00251620;Finalized;1054;PAID;AzZMDQVKkIS871h5f;CANCELLED;1;REJECTED x1
00251620;Finalized;3012;PAID;AzZMDQVKkIS871h5f;CANCELLED;1;REJECTED x1
00251620;Finalized;3101;PAID;AzZMDQVKkIS871h5f;CANCELLED;1;REJECTED x1
00317178;Cancelled;576;PAID;AzydMdVGy9Dq05sw;CANCELLED;13;REJECTED x13
00317178;Cancelled;2012;PAID;AzydMdVGy9Dq05sw;CANCELLED;3;REJECTED x3
00317178;Cancelled;2106;PAID;AzydMdVGy9Dq05sw;CANCELLED;3;REJECTED x3
00317092;Cancelled;574;PAID;16BQczVG1gutM3hV;CANCELLED;11;REJECTED x11
00317092;Cancelled;636;PAID;16BQczVG1gutM3hV;CANCELLED;10;REJECTED x10
00317092;Cancelled;2013;PAID;16BQczVG1gutM3hV;CANCELLED;1;REJECTED x1
