Payment_Name,Resultado,Ultimo_Estado_Indice,Fecha,Archivo_Origen,Fuente
PY-01888818,CONSISTENTE_PENDING,PENDING,2026-08-27,CheckCollectionDailyReport_08282026.pdf,Collections
PY-01888825,CONSISTENTE_PENDING,PENDING,2026-08-27,CheckCollectionDailyReport_08282026.pdf,Collections
PY-01888826,CONSISTENTE_PENDING,PENDING,2026-08-27,CheckCollectionDailyReport_08282026.pdf,Collections
PY-01888828,CONSISTENTE_PENDING,PENDING,2026-08-27,CheckCollectionDailyReport_08282026.pdf,Collections
PY-01888829,CONSISTENTE_PENDING,PENDING,2026-08-28,Check Collection Daily Report_08_31_2026.pdf,Collections
PY-01888835,CONSISTENTE_PENDING,PENDING,2026-08-31,Check Collection Daily Report_09_01_2026.pdf,Collections
PY-01888837,CONSISTENTE_PENDING,PENDING,2026-08-27,CheckCollectionDailyReport_08282026.pdf,Collections
PY-01888839,CONSISTENTE_PENDING,PENDING,2026-08-27,CheckCollectionDailyReport_08282026.pdf,Collections
PY-01889012,CONSISTENTE_PENDING,PENDING,2026-08-31,Check Collection Daily Report_09_01_2026.pdf,Collections
PY-01889019,CONSISTENTE_PENDING,PENDING,2026-08-31,Check Collection Daily Report_09_01_2026.pdf,Collections
PY-01889023,CONSISTENTE_PENDING,PENDING,2026-08-31,Check Collection Daily Report_09_01_2026.pdf,Collections
PY-01889026,CONSISTENTE_PENDING,PENDING,2026-08-31,Check Collection Daily Report_09_01_2026.pdf,Collections
PY-01889028,CONSISTENTE_PENDING,PENDING,2026-08-31,Check Collection Daily Report_09_01_2026.pdf,Collections
PY-01889034,CONSISTENTE_PENDING,PENDING,2026-08-31,Check Collection Daily Report_09_01_2026.pdf,Collections
PY-01889046,CONSISTENTE_PENDING,PENDING,2026-08-31,Check Collection Daily Report_09_01_2026.pdf,Collections
PY-01889050,CONSISTENTE_PENDING,PENDING,2026-08-31,Check Collection Daily Report_09_01_2026.pdf,Collections
PY-01889057,CONSISTENTE_PENDING,PENDING,2026-08-31,Check Collection Daily Report_09_01_2026.pdf,Collections
PY-01889058,CONSISTENTE_PENDING,PENDING,2026-08-31,Check Collection Daily Report_09_01_2026.pdf,Collections
PY-01889059,CONSISTENTE_PENDING,PENDING,2026-08-31,Check Collection Daily Report_09_01_2026.pdf,Collections
PY-01889072,CONSISTENTE_PENDING,PENDING,2026-08-31,Check Collection Daily Report_09_01_2026.pdf,Collections
PY-01889077,CONSISTENTE_PENDING,PENDING,2026-08-31,Check Collection Daily Report_09_01_2026.pdf,Collections
PY-01889085,CONSISTENTE_PENDING,PENDING,2026-08-31,Check Collection Daily Report_09_01_2026.pdf,Collections
PY-01889087,CONSISTENTE_PENDING,PENDING,2026-08-31,Check Collection Daily Report_09_01_2026.pdf,Collections
PY-01889098,CONSISTENTE_PENDING,PENDING,2026-08-31,Check Collection Daily Report_09_01_2026.pdf,Collections
PY-01889103,CONSISTENTE_PENDING,PENDING,2026-08-31,Check Collection Daily Report_09_01_2026.pdf,Collections
PY-01889106,CONSISTENTE_PENDING,PENDING,2026-09-01,CheckCollectionDailyReport_09022026.pdf,Collections
PY-01889111,CONSISTENTE_PENDING,PENDING,2026-08-31,Check Collection Daily Report_09_01_2026.pdf,Collections
PY-01889113,CONSISTENTE_PENDING,PENDING,2026-08-31,Check Collection Daily Report_09_01_2026.pdf,Collections
PY-01889120,CONSISTENTE_PENDING,PENDING,2026-08-31,Check Collection Daily Report_09_01_2026.pdf,Collections
PY-01889122,CONSISTENTE_PENDING,PENDING,2026-08-31,Check Collection Daily Report_09_01_2026.pdf,Collections
PY-01889124,CONSISTENTE_PENDING,PENDING,2026-08-31,Check Collection Daily Report_09_01_2026.pdf,Collections
PY-01889132,CONSISTENTE_PENDING,PENDING,2026-08-31,Check Collection Daily Report_09_01_2026.pdf,Collections
PY-01889143,CONSISTENTE_PENDING,PENDING,2026-08-31,Check Collection Daily Report_09_01_2026.pdf,Collections
PY-01889145,CONSISTENTE_PENDING,PENDING,2026-08-31,Check Collection Daily Report_09_01_2026.pdf,Collections
PY-01889152,CONSISTENTE_PENDING,PENDING,2026-08-31,Check Collection Daily Report_09_01_2026.pdf,Collections
PY-01889156,CONSISTENTE_PENDING,PENDING,2026-08-31,Check Collection Daily Report_09_01_2026.pdf,Collections
PY-01889157,CONSISTENTE_PENDING,PENDING,2026-08-31,Check Collection Daily Report_09_01_2026.pdf,Collections
PY-01889162,CONSISTENTE_PENDING,PENDING,2026-08-31,Check Collection Daily Report_09_01_2026.pdf,Collections
PY-01889167,CONSISTENTE_PENDING,PENDING,2026-08-31,Check Collection Daily Report_09_01_2026.pdf,Collections
PY-01889174,CONSISTENTE_PENDING,PENDING,2026-08-31,Check Collection Daily Report_09_01_2026.pdf,Collections
PY-01889182,CONSISTENTE_PENDING,PENDING,2026-09-01,CheckCollectionDailyReport_09022026.pdf,Collections
PY-01889184,CONSISTENTE_PENDING,PENDING,2026-08-31,Check Collection Daily Report_09_01_2026.pdf,Collections
PY-01889185,CONSISTENTE_PENDING,PENDING,2026-08-31,Check Collection Daily Report_09_01_2026.pdf,Collections
PY-01889186,CONSISTENTE_PENDING,PENDING,2026-08-31,Check Collection Daily Report_09_01_2026.pdf,Collections
PY-01889188,CONSISTENTE_PENDING,PENDING,2026-08-31,Check Collection Daily Report_09_01_2026.pdf,Collections
PY-01889192,CONSISTENTE_PENDING,PENDING,2026-08-31,Check Collection Daily Report_09_01_2026.pdf,Collections
PY-01889208,CONSISTENTE_PENDING,PENDING,2026-08-31,Check Collection Daily Report_09_01_2026.pdf,Collections
PY-01889211,CONSISTENTE_PENDING,PENDING,2026-08-28,Check Collection Daily Report_08_31_2026.pdf,Collections
PY-01889233,CONSISTENTE_PENDING,PENDING,2026-08-31,Check Collection Daily Report_09_01_2026.pdf,Collections
PY-01889235,CONSISTENTE_PENDING,PENDING,2026-08-31,Check Collection Daily Report_09_01_2026.pdf,Collections
PY-01889242,CONSISTENTE_PENDING,PENDING,2026-08-31,Check Collection Daily Report_09_01_2026.pdf,Collections
PY-01889249,CONSISTENTE_PENDING,PENDING,2026-08-31,Check Collection Daily Report_09_01_2026.pdf,Collections
PY-01889253,CONSISTENTE_PENDING,PENDING,2026-08-31,Check Collection Daily Report_09_01_2026.pdf,Collections
PY-01889257,CONSISTENTE_PENDING,PENDING,2026-08-31,Check Collection Daily Report_09_01_2026.pdf,Collections
PY-01889258,CONSISTENTE_PENDING,PENDING,2026-08-31,Check Collection Daily Report_09_01_2026.pdf,Collections
PY-01889259,CONSISTENTE_PENDING,PENDING,2026-08-31,Check Collection Daily Report_09_01_2026.pdf,Collections
PY-01889260,CONSISTENTE_PENDING,PENDING,2026-08-31,Check Collection Daily Report_09_01_2026.pdf,Collections
PY-01889261,CONSISTENTE_PENDING,PENDING,2026-08-31,Check Collection Daily Report_09_01_2026.pdf,Collections
PY-01889262,CONSISTENTE_PENDING,PENDING,2026-08-31,Check Collection Daily Report_09_01_2026.pdf,Collections
PY-01890501,CONSISTENTE_PENDING,PENDING,2026-08-31,Check Collection Daily Report_09_01_2026.pdf,Collections
PY-01890502,CONSISTENTE_PENDING,PENDING,2026-08-31,Check Collection Daily Report_09_01_2026.pdf,Collections
PY-01890504,CONSISTENTE_PENDING,PENDING,2026-09-01,CheckCollectionDailyReport_09022026.pdf,Collections
PY-01890505,CONSISTENTE_PENDING,PENDING,2026-09-02,CheckCollectionDailyReport_09032026.pdf,Collections
PY-01890506,CONSISTENTE_PENDING,PENDING,2026-09-01,CheckCollectionDailyReport_09022026.pdf,Collections
PY-01890510,CONSISTENTE_PENDING,PENDING,2026-09-01,CheckCollectionDailyReport_09022026.pdf,Collections
PY-01890512,CONSISTENTE_PENDING,PENDING,2026-09-01,CheckCollectionDailyReport_09022026.pdf,Collections
PY-01890513,CONSISTENTE_PENDING,PENDING,2026-09-01,CheckCollectionDailyReport_09022026.pdf,Collections
