ContractNumber,Estado,FechaUltimaRevision,Detalle
00315065,PENDING_ACH_PAYMENT,2026-09-22,PY-01771730 en PENDING; PY-01771751 en PENDING; PY-01771779 en PENDING; PY-01771821 en PENDING; PY-01771864 en PENDING; PY-01785989 en PENDING
00315110,PENDING_ACH_PAYMENT,2026-09-22,PY-01754186 en PENDING; PY-01771747 en PENDING; PY-01771765 en PENDING; PY-01771799 en PENDING; PY-01771849 en PENDING; PY-01779119 en PENDING
00315295,CANCELLED_OK,2026-09-22,ACH ya resuelto
00315317,CANCELLED_OK,2026-09-22,ACH ya resuelto
00315344,CANCELLED_OK,2026-09-22,ACH ya resuelto
00315346,PENDING_ACH_PAYMENT,2026-09-22,PY-01771840 en PENDING; PY-01786017 en PENDING
00315379,CANCELLED_OK,2026-09-22,ACH ya resuelto
00315409,PENDING_ACH_PAYMENT,2026-09-22,PY-01776682 en PENDING; PY-01776755 en PENDING; PY-01782500 en PENDING; PY-01794928 en PENDING; PY-01794929 en PENDING; PY-01794935 en PENDING; PY-01797602 en PENDING
00315430,CANCELLED_OK,2026-09-22,ACH ya resuelto
00315450,CANCELLED_OK,2026-09-22,ACH ya resuelto
00315547,CANCELLED_OK,2026-09-22,ACH ya resuelto
00315556,CANCELLED_OK,2026-09-22,ACH ya resuelto
00315558,PENDING_ACH_PAYMENT,2026-09-22,PY-01798391 en PENDING
00315581,CANCELLED_OK,2026-09-22,ACH ya resuelto
00315587,CANCELLED_OK,2026-09-22,ACH ya resuelto
00315612,CANCELLED_OK,2026-09-22,ACH ya resuelto
00315624,CANCELLED_OK,2026-09-22,ACH ya resuelto
00315639,CANCELLED_OK,2026-09-22,ACH ya resuelto
00315738,CANCELLED_OK,2026-09-22,ACH ya resuelto
00315788,CANCELLED_OK,2026-09-22,ACH ya resuelto
00315789,CANCELLED_OK,2026-09-22,ACH ya resuelto
00315791,CANCELLED_OK,2026-09-22,ACH ya resuelto
00315795,CANCELLED_OK,2026-09-22,ACH ya resuelto
00315805,CANCELLED_OK,2026-09-22,ACH ya resuelto
00315825,PENDING_ACH_PAYMENT,2026-09-22,PY-01779124 en PENDING; PY-01793856 en PENDING; PY-01795698 en PENDING
00315830,CANCELLED_OK,2026-09-22,ACH ya resuelto
00315847,PENDING_ACH_PAYMENT,2026-09-22,PY-01783641 en PENDING; PY-01797715 en PENDING; PY-01798591 en PENDING; PY-01798595 en PENDING
00315852,PENDING_ACH_PAYMENT,2026-09-22,PY-01786025 en PENDING; PY-01798613 en PENDING
00315856,CANCELLED_OK,2026-09-22,ACH ya resuelto
00315862,CANCELLED_OK,2026-09-22,ACH ya resuelto
00315908,PENDING_ACH_PAYMENT,2026-09-22,PY-01791999 en PENDING
00315926,PENDING_ACH_PAYMENT,2026-09-22,PY-01775804 en PENDING; PY-01788851 en PENDING; PY-01788855 en PENDING
00315935,PENDING_ACH_PAYMENT,2026-09-22,PY-01778022 en PENDING; PY-01792866 en PENDING
00315948,CANCELLED_OK,2026-09-22,ACH ya resuelto
00315985,CANCELLED_OK,2026-09-22,ACH ya resuelto
00315995,PENDING_ACH_PAYMENT,2026-09-22,PY-01764707 en PENDING; PY-01800771 en PENDING
00316014,CANCELLED_OK,2026-09-22,ACH ya resuelto
00316037,CANCELLED_OK,2026-09-22,ACH ya resuelto
00316038,CANCELLED_OK,2026-09-22,ACH ya resuelto
00316098,PENDING_ACH_PAYMENT,2026-09-22,PY-01778023 en PENDING; PY-01792867 en PENDING
00316147,CANCELLED_OK,2026-09-22,ACH ya resuelto
00316171,PENDING_ACH_PAYMENT,2026-09-22,PY-01771985 en PENDING; PY-01784848 en PENDING; PY-01797716 en PENDING
00316212,PENDING_ACH_PAYMENT,2026-09-22,PY-01772319 en PENDING
00315978,CANCELLED_OK,2026-09-22,ACH ya resuelto
00316034,CANCELLED_OK,2026-09-22,ACH ya resuelto
00316035,PENDING_ACH_PAYMENT,2026-09-22,PY-01777916 en PENDING; PY-01792891 en PENDING; PY-01804565 en PENDING
00316264,CANCELLED_OK,2026-09-22,ACH ya resuelto
00316265,CANCELLED_OK,2026-09-22,ACH ya resuelto
00316287,CANCELLED_OK,2026-09-22,ACH ya resuelto
00316308,CANCELLED_OK,2026-09-22,ACH ya resuelto
00316321,CANCELLED_OK,2026-09-22,ACH ya resuelto
00316330,CANCELLED_OK,2026-09-22,ACH ya resuelto
00316343,CANCELLED_OK,2026-09-22,ACH ya resuelto
00316344,CANCELLED_OK,2026-09-22,ACH ya resuelto
00316357,CANCELLED_OK,2026-09-22,ACH ya resuelto
00316380,CANCELLED_OK,2026-09-22,ACH ya resuelto
00316389,CANCELLED_OK,2026-09-22,ACH ya resuelto
00316429,CANCELLED_OK,2026-09-22,ACH ya resuelto
00316430,PENDING_ACH_PAYMENT,2026-09-22,PY-01786072 en PENDING; PY-01797728 en PENDING
00316438,CANCELLED_OK,2026-09-22,ACH ya resuelto
00316465,CANCELLED_OK,2026-09-22,ACH ya resuelto
00316495,CANCELLED_OK,2026-09-22,ACH ya resuelto
00315386,PENDING_ACH_PAYMENT,2026-09-22,PY-01765921 en PENDING
00315743,CANCELLED_OK,2026-09-22,ACH ya resuelto
00315764,CANCELLED_OK,2026-09-22,ACH ya resuelto
00315859,CANCELLED_OK,2026-09-22,ACH ya resuelto
00315882,CANCELLED_OK,2026-09-22,ACH ya resuelto
00315976,CANCELLED_OK,2026-09-22,ACH ya resuelto
00315996,CANCELLED_OK,2026-09-22,ACH ya resuelto
00315999,CANCELLED_OK,2026-09-22,ACH ya resuelto
00316006,CANCELLED_OK,2026-09-22,ACH ya resuelto
00316058,CANCELLED_OK,2026-09-22,ACH ya resuelto
00316071,PENDING_ACH_PAYMENT,2026-09-22,PY-01818005 en PENDING; PY-01824970 en PENDING; PY-01834123 en PENDING
00316144,CANCELLED_OK,2026-09-22,ACH ya resuelto
00316186,CANCELLED_OK,2026-09-22,ACH ya resuelto
00316273,CANCELLED_OK,2026-09-22,ACH ya resuelto
00316293,CANCELLED_OK,2026-09-22,ACH ya resuelto
00316320,PENDING_ACH_PAYMENT,2026-09-22,PY-01818018 en PENDING; PY-01824981 en PENDING; PY-01834136 en PENDING
00316364,CANCELLED_OK,2026-09-22,ACH ya resuelto
00316538,CANCELLED_OK,2026-09-22,ACH ya resuelto
00269200,CANCELLED_OK,2026-09-22,ACH ya resuelto
00276428,CANCELLED_OK,2026-09-22,ACH ya resuelto
00286155,CANCELLED_OK,2026-09-22,ACH ya resuelto
00311944,CANCELLED_OK,2026-09-22,ACH ya resuelto
00312296,CANCELLED_OK,2026-09-22,ACH ya resuelto
00312717,CANCELLED_OK,2026-09-22,ACH ya resuelto
00313404,CANCELLED_OK,2026-09-22,ACH ya resuelto
00313476,CANCELLED_OK,2026-09-22,ACH ya resuelto
00314010,CANCELLED_OK,2026-09-22,ACH ya resuelto
00314086,CANCELLED_OK,2026-09-22,ACH ya resuelto
00314371,CANCELLED_OK,2026-09-22,ACH ya resuelto
00314418,CANCELLED_OK,2026-09-22,ACH ya resuelto
00314599,CANCELLED_OK,2026-09-22,ACH ya resuelto
00314601,CANCELLED_OK,2026-09-22,ACH ya resuelto
00314642,CANCELLED_OK,2026-09-22,ACH ya resuelto
00314646,CANCELLED_OK,2026-09-22,ACH ya resuelto
00314776,CANCELLED_OK,2026-09-22,ACH ya resuelto
00314808,CANCELLED_OK,2026-09-22,ACH ya resuelto
